date,platform,n
2016-10-13,facebook,489
2016-10-13,mailchimp,336
2016-10-14,facebook,489
2016-10-14,mailchimp,336
2016-10-15,facebook,489
2016-10-15,mailchimp,336
2016-10-16,facebook,489
2016-10-16,mailchimp,336
2016-10-17,facebook,489
2016-10-17,mailchimp,336
2016-10-18,facebook,490
2016-10-18,mailchimp,336
2016-10-19,facebook,490
2016-10-19,mailchimp,336
2016-10-20,facebook,492
2016-10-20,mailchimp,336
2016-10-21,facebook,492
2016-10-21,mailchimp,338
2016-10-22,facebook,492
2016-10-22,mailchimp,338
2016-10-23,facebook,494
2016-10-23,mailchimp,339
2016-10-24,facebook,494
2016-10-24,mailchimp,339
2016-10-25,facebook,495
2016-10-25,mailchimp,339
2016-10-26,facebook,495
2016-10-26,mailchimp,339
2016-10-27,facebook,498
2016-10-27,mailchimp,340
2016-10-28,facebook,500
2016-10-28,mailchimp,341
2016-10-29,facebook,509
2016-10-29,mailchimp,341
2016-10-30,facebook,510
2016-10-30,mailchimp,341
2016-10-31,facebook,511
2016-10-31,mailchimp,341
2016-11-01,facebook,512
2016-11-01,mailchimp,341
2016-11-02,facebook,513
2016-11-02,mailchimp,341
2016-11-03,facebook,514
2016-11-03,mailchimp,341
2016-11-04,facebook,516
2016-11-04,mailchimp,342
2016-11-05,facebook,516
2016-11-05,mailchimp,342
2016-11-06,facebook,516
2016-11-06,mailchimp,342
2016-11-07,facebook,516
2016-11-07,mailchimp,342
2016-11-08,facebook,516
2016-11-08,mailchimp,342
2016-11-09,facebook,516
2016-11-09,mailchimp,342
2016-11-10,facebook,516
2016-11-10,mailchimp,342
2016-11-11,facebook,517
2016-11-11,mailchimp,342
2016-11-12,facebook,518
2016-11-12,mailchimp,342
2016-11-13,facebook,518
2016-11-13,mailchimp,342
2016-11-14,facebook,518
2016-11-14,mailchimp,343
2016-11-15,facebook,518
2016-11-15,mailchimp,344
2016-11-16,facebook,518
2016-11-16,mailchimp,344
2016-11-17,facebook,518
2016-11-17,mailchimp,344
2016-11-18,facebook,519
2016-11-18,mailchimp,344
2016-11-19,facebook,519
2016-11-19,mailchimp,344
2016-11-20,facebook,521
2016-11-20,mailchimp,344
2016-11-21,facebook,523
2016-11-21,mailchimp,346
2016-11-22,facebook,523
2016-11-22,mailchimp,346
2016-11-23,facebook,524
2016-11-23,mailchimp,346
2016-11-24,facebook,524
2016-11-24,mailchimp,346
2016-11-25,facebook,524
2016-11-25,mailchimp,347
2016-11-26,facebook,526
2016-11-26,mailchimp,347
2016-11-27,facebook,527
2016-11-27,mailchimp,348
2016-11-28,facebook,528
2016-11-28,mailchimp,348
2016-11-29,facebook,529
2016-11-29,mailchimp,348
2016-11-30,facebook,530
2016-11-30,mailchimp,351
2016-12-01,facebook,530
2016-12-01,mailchimp,352
2016-12-02,facebook,532
2016-12-02,mailchimp,352
2016-12-03,facebook,533
2016-12-03,mailchimp,352
2016-12-04,facebook,532
2016-12-04,mailchimp,352
2016-12-05,facebook,534
2016-12-05,mailchimp,352
2016-12-06,facebook,537
2016-12-06,mailchimp,352
2016-12-07,facebook,537
2016-12-07,mailchimp,352
2016-12-08,facebook,537
2016-12-08,mailchimp,352
2016-12-09,facebook,537
2016-12-09,mailchimp,353
2016-12-10,facebook,537
2016-12-10,mailchimp,353
2016-12-11,facebook,538
2016-12-11,mailchimp,356
2016-12-12,facebook,539
2016-12-12,mailchimp,360
2016-12-13,facebook,539
2016-12-13,mailchimp,361
2016-12-14,facebook,540
2016-12-14,mailchimp,361
2016-12-15,facebook,540
2016-12-15,mailchimp,364
2016-12-16,facebook,540
2016-12-16,mailchimp,364
2016-12-17,facebook,540
2016-12-17,mailchimp,364
2016-12-18,facebook,540
2016-12-18,mailchimp,364
2016-12-19,facebook,540
2016-12-19,mailchimp,365
2016-12-20,facebook,540
2016-12-20,mailchimp,365
2016-12-21,facebook,540
2016-12-21,mailchimp,365
2016-12-22,facebook,541
2016-12-22,mailchimp,367
2016-12-23,facebook,541
2016-12-23,mailchimp,367
2016-12-24,facebook,541
